"isoform","compare","Final","Freq","isoform_compare","feature_type","fc_mean","log2FC","medianp","uncertainty","classification"
"ENST00000000412.8","D5/D6","non-DEI",3,"ENST00000000412.8 D5/D6","non-DEI",1.08481983770772,0.11712650744774,0.0277507899893602,1.50734978621339,"High Confidence"
"ENST00000000412.8","F7/D6","non-DEI",3,"ENST00000000412.8 F7/D6","non-DEI",0.839804134180941,-0.253989488029172,0.00194798918796419,3.86151533787552,"Low Confidence"
"ENST00000001008.6","M8/D6","non-DEI",2,"ENST00000001008.6 M8/D6","non-DEI",0.855566921620341,-0.225049047954372,0.0163063984766218,0.151625981492031,"Low Confidence"
"ENST00000002165.11","D5/D6","non-DEI",4,"ENST00000002165.11 D5/D6","non-DEI",0.727293203917126,-0.45946893432405,0.0114198277210487,0.600953336290573,"High Confidence"
"ENST00000002165.11","M8/D6","non-DEI",2,"ENST00000002165.11 M8/D6","non-DEI",0.856085182421366,-0.224277669163433,0.0396798520657506,1.2002769429991,"Low Confidence"
"ENST00000002596.6","M8/D6","up-regulate",2,"ENST00000002596.6 M8/D6","up-regulate",2.44597443307551,1.28883052414385,0.0143865476971773,4.67577571636924,"Low Confidence"
"ENST00000003100.13","M8/D6","non-DEI",4,"ENST00000003100.13 M8/D6","non-DEI",1.39081291374818,0.46861015322995,0.0295281332826949,5.88787724710475,"Low Confidence"
"ENST00000005257.7","D5/D6","non-DEI",2,"ENST00000005257.7 D5/D6","non-DEI",0.844148465995342,-0.244527753261607,0.0374330241259469,1.15607955734309,"Low Confidence"
"ENST00000005257.7","F7/D6","non-DEI",2,"ENST00000005257.7 F7/D6","non-DEI",1.16196907346192,0.216571646544491,0.0842260784167626,0.0184190671669448,"Low Confidence"
"ENST00000005259.9","M8/D6","non-DEI",2,"ENST00000005259.9 M8/D6","non-DEI",1.31375531642225,0.393047096106818,0.0341753119878662,3.00000279387128,"Medium Confidence"
"ENST00000005260.9","F7/D6","up-regulate",3,"ENST00000005260.9 F7/D6","up-regulate",2.23632404663237,1.15207093485707,0.000330258562944285,7.71820677798321,"Low Confidence"
"ENST00000006750.8","D5/D6","non-DEI",2,"ENST00000006750.8 D5/D6","non-DEI",0.776656561022163,-0.364709526725568,0.00679166147894444,0.898285151925138,"Low Confidence"
"ENST00000006750.8","M8/D6","non-DEI",2,"ENST00000006750.8 M8/D6","non-DEI",1.34727719838952,0.429477082253855,0.00945990112939748,2.80955929689616,"Medium Confidence"
"ENST00000006777.11","D5/D6","non-DEI",3,"ENST00000006777.11 D5/D6","non-DEI",0.528709366664402,-0.919688096766224,0.000951731417018945,1.2705301985353,"High Confidence"
"ENST00000007390.3","M8/D6","non-DEI",2,"ENST00000007390.3 M8/D6","non-DEI",0.789886144834358,-0.340470000951984,0.137019857909051,1.60835396039983,"Low Confidence"
"ENST00000007516.8","M8/D6","non-DEI",3,"ENST00000007516.8 M8/D6","non-DEI",0.832937558344069,-0.263783879529398,0.0456484661587007,0.665280091173298,"High Confidence"
"ENST00000008527.10","D5/D6","up-regulate",4,"ENST00000008527.10 D5/D6","up-regulate",5.30361466249121,2.40613185211217,2.55961794215223e-06,1.9835348127603,"Medium Confidence"
"ENST00000008527.10","F7/D6","up-regulate",4,"ENST00000008527.10 F7/D6","up-regulate",2.81083094000275,1.48927130309082,0.000102529423016999,2.83840446544157,"Medium Confidence"
"ENST00000008527.10","M8/D6","non-DEI",2,"ENST00000008527.10 M8/D6","non-DEI",1.38179121983637,0.466340392075688,0.0605175901314417,1.66190180522636,"Low Confidence"
"ENST00000009530.13","F7/D6","non-DEI",3,"ENST00000009530.13 F7/D6","non-DEI",0.726140398572128,-0.461684357748407,0.000130991467076932,0.182049870097083,"High Confidence"
"ENST00000009530.13","M8/D6","non-DEI",2,"ENST00000009530.13 M8/D6","non-DEI",0.849150980987222,-0.236726613681921,0.0311925193331478,3.36982977583748,"Medium Confidence"
"ENST00000009589.8","D5/D6","non-DEI",2,"ENST00000009589.8 D5/D6","non-DEI",1.09748190184101,0.133768935025206,0.0473978855307283,2.43609211733482,"Medium Confidence"
"ENST00000009589.8","F7/D6","non-DEI",3,"ENST00000009589.8 F7/D6","non-DEI",1.14582523410498,0.196349363260096,0.0590597695507792,0.5105796946788,"High Confidence"
"ENST00000011619.6","D5/D6","non-DEI",2,"ENST00000011619.6 D5/D6","non-DEI",0.913609754200177,-0.130930117305321,0.336386912070836,2.83519510291279,"Medium Confidence"
