"isoform","compare","Freq","fc","log2FC","uncertainty","isoform_compare","medianp","gene_id","gene_name","gene_type","transcript_name","transcript_type","transcript_length","exon_count","junction_count","classification"
"ENST00000000412.8","D5/D6",3,1.08481983770772,0.11712650744774,1.50734978621339,"ENST00000000412.8 D5/D6",0.0277507899893602,"ENSG00000003056.8","M6PR","protein_coding","M6PR-201","protein_coding",2450,7,6,"High Confidence"
"ENST00000000412.8","F7/D6",3,0.839804134180941,-0.253989488029172,3.86151533787552,"ENST00000000412.8 F7/D6",0.00194798918796419,"ENSG00000003056.8","M6PR","protein_coding","M6PR-201","protein_coding",2450,7,6,"Low Confidence"
"ENST00000001008.6","M8/D6",2,0.855566921620341,-0.225049047954372,0.151625981492031,"ENST00000001008.6 M8/D6",0.0163063984766218,"ENSG00000004478.8","FKBP4","protein_coding","FKBP4-201","protein_coding",3715,10,9,"Low Confidence"
"ENST00000002165.11","D5/D6",4,0.727293203917126,-0.45946893432405,0.600953336290573,"ENST00000002165.11 D5/D6",0.0114198277210487,"ENSG00000001036.14","FUCA2","protein_coding","FUCA2-201","protein_coding",2385,7,6,"High Confidence"
"ENST00000002165.11","M8/D6",2,0.856085182421366,-0.224277669163433,1.2002769429991,"ENST00000002165.11 M8/D6",0.0396798520657506,"ENSG00000001036.14","FUCA2","protein_coding","FUCA2-201","protein_coding",2385,7,6,"Low Confidence"
"ENST00000002596.6","M8/D6",2,2.44597443307551,1.28883052414385,4.67577571636924,"ENST00000002596.6 M8/D6",0.0143865476971773,"ENSG00000002587.10","HS3ST1","protein_coding","HS3ST1-201","protein_coding",7160,2,1,"Low Confidence"
"ENST00000003100.13","M8/D6",4,1.39081291374818,0.46861015322995,5.88787724710475,"ENST00000003100.13 M8/D6",0.0295281332826949,"ENSG00000001630.18","CYP51A1","protein_coding","CYP51A1-201","protein_coding",3155,10,9,"Low Confidence"
"ENST00000005257.7","D5/D6",2,0.844148465995342,-0.244527753261607,1.15607955734309,"ENST00000005257.7 D5/D6",0.0374330241259469,"ENSG00000006451.8","RALA","protein_coding","RALA-201","protein_coding",2787,5,4,"Low Confidence"
"ENST00000005257.7","F7/D6",2,1.16196907346192,0.216571646544491,0.0184190671669448,"ENST00000005257.7 F7/D6",0.0842260784167626,"ENSG00000006451.8","RALA","protein_coding","RALA-201","protein_coding",2787,5,4,"Low Confidence"
"ENST00000005259.9","M8/D6",2,1.31375531642225,0.393047096106818,3.00000279387128,"ENST00000005259.9 M8/D6",0.0341753119878662,"ENSG00000075790.12","BCAP29","protein_coding","BCAP29-201","protein_coding",2911,8,7,"Medium Confidence"
"ENST00000005260.9","D5/D6",3,1.52154514823487,0.59273730779878,9.22834997783987,"ENST00000005260.9 D5/D6",0.00370091977074082,"ENSG00000006453.14","BAIAP2L1","protein_coding","BAIAP2L1-201","protein_coding",3645,14,13,"Low Confidence"
"ENST00000005260.9","F7/D6",3,2.23632404663237,1.15207093485707,7.71820677798321,"ENST00000005260.9 F7/D6",0.000330258562944285,"ENSG00000006453.14","BAIAP2L1","protein_coding","BAIAP2L1-201","protein_coding",3645,14,13,"Low Confidence"
"ENST00000006750.8","D5/D6",2,0.776656561022163,-0.364709526725568,0.898285151925138,"ENST00000006750.8 D5/D6",0.00679166147894444,"ENSG00000007312.14","CD79B","protein_coding","CD79B-201","protein_coding",1246,6,5,"Low Confidence"
"ENST00000006750.8","M8/D6",2,1.34727719838952,0.429477082253855,2.80955929689616,"ENST00000006750.8 M8/D6",0.00945990112939748,"ENSG00000007312.14","CD79B","protein_coding","CD79B-201","protein_coding",1246,6,5,"Medium Confidence"
"ENST00000006777.11","D5/D6",3,0.528709366664402,-0.919688096766224,1.2705301985353,"ENST00000006777.11 D5/D6",0.000951731417018945,"ENSG00000005486.17","RHBDD2","protein_coding","RHBDD2-201","protein_coding",1721,4,3,"High Confidence"
"ENST00000007390.3","M8/D6",2,0.789886144834358,-0.340470000951984,1.60835396039983,"ENST00000007390.3 M8/D6",0.137019857909051,"ENSG00000007520.4","TSR3","protein_coding","TSR3-201","protein_coding",1210,6,5,"Low Confidence"
"ENST00000007516.8","M8/D6",3,0.832937558344069,-0.263783879529398,0.665280091173298,"ENST00000007516.8 M8/D6",0.0456484661587007,"ENSG00000004779.10","NDUFAB1","protein_coding","NDUFAB1-201","protein_coding",665,5,4,"High Confidence"
"ENST00000008527.10","D5/D6",4,5.30361466249121,2.40613185211217,1.9835348127603,"ENST00000008527.10 D5/D6",2.55961794215223e-06,"ENSG00000008405.12","CRY1","protein_coding","CRY1-201","protein_coding",2987,13,12,"Medium Confidence"
"ENST00000008527.10","F7/D6",4,2.81083094000275,1.48927130309082,2.83840446544157,"ENST00000008527.10 F7/D6",0.000102529423016999,"ENSG00000008405.12","CRY1","protein_coding","CRY1-201","protein_coding",2987,13,12,"Medium Confidence"
