ASE,compare,final,Freq,isoform_compare,feature_type,mean_delta_psi_mean,medianp,uncertainty,alternative_transcripts,total_transcripts,classification
ENSG00000000419.14;SE:chr20:50936262-50940865:50940955-50942031:-,D5/D6,non-DAS,2,ENSG00000000419.14;SE:chr20:50936262-50940865:50940955-50942031:- D5/D6,non-DAS,-0.101381454,0.81968032,-2.610780102,"ENST00000466152.5,ENST00000684193.1,ENST00000684708.1","ENST00000466152.5,ENST00000682713.1,ENST00000684193.1,ENST00000684708.1,ENST00000683466.1,ENST00000683048.1",Low Confidence
ENSG00000000419.14;SE:chr20:50936262-50940865:50940955-50942031:-,M8/D6,non-DAS,2,ENSG00000000419.14;SE:chr20:50936262-50940865:50940955-50942031:- M8/D6,non-DAS,-0.030942602,1,-78.411173,"ENST00000466152.5,ENST00000684193.1,ENST00000684708.1","ENST00000466152.5,ENST00000682713.1,ENST00000684193.1,ENST00000684708.1,ENST00000683466.1,ENST00000683048.1",Low Confidence
ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+,D5/D6,non-DAS,2,ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+ D5/D6,non-DAS,0.039664234,1,15.95651769,ENST00000339255.2,"ENST00000003912.7,ENST00000339255.2,ENST00000374399.9",Low Confidence
ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+,F7/D6,non-DAS,2,ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+ F7/D6,non-DAS,0.06412046,0.281718282,2.224637208,ENST00000339255.2,"ENST00000003912.7,ENST00000339255.2,ENST00000374399.9",Low Confidence
ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+,M8/D6,non-DAS,3,ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+ M8/D6,non-DAS,0.084858722,0.247252747,14.34218897,ENST00000339255.2,"ENST00000003912.7,ENST00000339255.2,ENST00000374399.9",Medium Confidence
ENSG00000001497.18;SE:chrX:65524262-65524564:65524614-65524965:-,F7/D6,non-DAS,3,ENSG00000001497.18;SE:chrX:65524262-65524564:65524614-65524965:- F7/D6,non-DAS,0.080280647,0.37962038,12.33183965,"ENST00000374811.8,ENST00000484069.1,ENST00000677087.1,ENST00000677986.1,ENST00000678956.1,ENST00000679261.1,ENST00000679056.1,ENST00000678173.1,ENST00000678823.1","ENST00000677969.1,ENST00000677056.1,ENST00000484069.1,ENST00000679056.1,ENST00000677154.1,ENST00000677834.1,ENST00000374807.9,ENST00000678956.1,ENST00000676986.1,ENST00000678173.1,ENST00000677087.1,ENST00000374804.9,ENST00000678570.1,ENST00000678823.1,ENST00000679261.1,ENST00000374811.8,ENST00000677986.1",Medium Confidence
ENSG00000001497.18;SE:chrX:65524262-65524564:65524614-65524965:-,M8/D6,non-DAS,3,ENSG00000001497.18;SE:chrX:65524262-65524564:65524614-65524965:- M8/D6,non-DAS,0.039629117,1,31.74299759,"ENST00000374811.8,ENST00000484069.1,ENST00000677087.1,ENST00000677986.1,ENST00000678956.1,ENST00000679261.1,ENST00000679056.1,ENST00000678173.1,ENST00000678823.1","ENST00000677969.1,ENST00000677056.1,ENST00000484069.1,ENST00000679056.1,ENST00000677154.1,ENST00000677834.1,ENST00000374807.9,ENST00000678956.1,ENST00000676986.1,ENST00000678173.1,ENST00000677087.1,ENST00000374804.9,ENST00000678570.1,ENST00000678823.1,ENST00000679261.1,ENST00000374811.8,ENST00000677986.1",Medium Confidence
ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:-,D5/D6,non-DAS,2,ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:- D5/D6,non-DAS,0.044836189,0.561720632,32.55958457,"ENST00000394505.7,ENST00000686785.1,ENST00000688781.1,ENST00000425073.2,ENST00000454017.6,ENST00000689778.1,ENST00000689539.1,ENST00000394503.6,ENST00000686233.1,ENST00000413688.6","ENST00000689778.1,ENST00000689539.1,ENST00000684808.1,ENST00000686233.1,ENST00000454017.6,ENST00000425073.2,ENST00000688781.1,ENST00000413688.6,ENST00000445516.2,ENST00000394505.7,ENST00000458177.7,ENST00000686785.1,ENST00000394503.6,ENST00000686094.1",Low Confidence
ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:-,F7/D6,non-DAS,2,ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:- F7/D6,non-DAS,-0.021321444,1,-75.5480511,"ENST00000394505.7,ENST00000686785.1,ENST00000688781.1,ENST00000425073.2,ENST00000454017.6,ENST00000689778.1,ENST00000689539.1,ENST00000394503.6,ENST00000686233.1,ENST00000413688.6","ENST00000689778.1,ENST00000689539.1,ENST00000684808.1,ENST00000686233.1,ENST00000454017.6,ENST00000425073.2,ENST00000688781.1,ENST00000413688.6,ENST00000445516.2,ENST00000394505.7,ENST00000458177.7,ENST00000686785.1,ENST00000394503.6,ENST00000686094.1",Low Confidence
ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:-,M8/D6,non-DAS,2,ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:- M8/D6,non-DAS,0.038958106,0.641929499,31.73141796,"ENST00000394505.7,ENST00000686785.1,ENST00000688781.1,ENST00000425073.2,ENST00000454017.6,ENST00000689778.1,ENST00000689539.1,ENST00000394503.6,ENST00000686233.1,ENST00000413688.6","ENST00000689778.1,ENST00000689539.1,ENST00000684808.1,ENST00000686233.1,ENST00000454017.6,ENST00000425073.2,ENST00000688781.1,ENST00000413688.6,ENST00000445516.2,ENST00000394505.7,ENST00000458177.7,ENST00000686785.1,ENST00000394503.6,ENST00000686094.1",Low Confidence
